Category,Appliance,Type,min_power_w,max_power_w,hours_per_day_min,hours_per_day_max,surge_factor,Notes
Agricultural & Farming Equipment,Greenhouse Systems,Ventilation Fan,100,500,6,12,1.2,"Essential climate control equipment in commercial and semi-commercial greenhouses. Used primarily during hot seasons to maintain optimal growing temperatures between 20-30°C. Popular in urban farming initiatives, flower cultivation businesses, and hydroponic setups."
Agricultural & Farming Equipment,Greenhouse Systems,Grow Lights (LED/HID),50,500,6,18,1,"Artificial lighting systems for year-round crop production and supplemental lighting during cloudy periods. LED variants are increasingly preferred due to energy efficiency and longer lifespan. Common in hydroponic setups, commercial vegetable production, and indoor farming operations, especially where natural light is insufficient for optimal plant growth."
Agricultural & Farming Equipment,Incubators,Small Egg Incubator (50–200 eggs),100,500,24,24,1,"Automated hatching equipment for small-scale poultry operations maintaining precise temperature (37.5°C) and humidity levels. Essential for broiler and layer production in both rural and urban settings. Often used by cooperative farming groups, individual entrepreneurs, and small commercial hatcheries."
Agricultural & Farming Equipment,Irrigation Systems,Drip Irrigation Pump,100,500,2,6,1.5,"Water-efficient irrigation technology gaining popularity among progressive farmers for precise water delivery to plant roots. Particularly valuable during dry seasons and in areas with water scarcity. Commonly used for high-value crops like tomatoes, peppers, leafy vegetables, and fruit orchards. Reduces water waste by 30-50% compared to flood irrigation."
Agricultural & Farming Equipment,Livestock Equipment,Automatic Watering System,50,200,4,12,1,"Reduces labor costs and ensures consistent clean water supply for livestock health and productivity. Popular in modern poultry houses, cattle ranches, goat farming operations, and pig farms. Essential for maintaining animal welfare standards and optimizing feed conversion ratios in commercial livestock operations."
Agricultural & Farming Equipment,Sprayers,Electric Knapsack Sprayer,60,150,2,6,1,"Mechanized spraying equipment that reduces manual labor and ensures uniform application of pesticides, herbicides, and fertilizers. Widely used by smallholder farmers for crop protection programs. More efficient than manual sprayers with better coverage and reduced operator fatigue during field applications."
Computing & Communication,Desktop PC,Basic Office/Desktop,100,200,4,10,1,"Standard computing equipment found in educational institutions, cybercafés, government offices, and small businesses. Often shared among multiple users in computer training centers and business centers. Typical specifications include 4-8GB RAM, basic processors suitable for office applications, internet browsing, and educational software."
Computing & Communication,Desktop PC,High-Performance/Gaming,300,800,2,8,1,"Specialized computers with dedicated graphics cards for gaming, video editing, 3D rendering, and CAD applications. Popular in creative industries, architectural firms, media production houses, and gaming lounges in urban areas. Higher power consumption due to powerful GPUs and processors."
Computing & Communication,Desktop PC,All-in-One PC,60,150,4,10,1,"Space-saving computer solution combining monitor and CPU in single unit, reducing cable clutter and desk space requirements. Preferred in modern offices, reception areas, and upscale homes where aesthetics and space efficiency are priorities. Generally more expensive than traditional desktop setups."
Computing & Communication,Laptop,"Ultrabook (13–14"")",30,60,4,10,1,"Premium portable computers emphasizing thinness, light weight, and long battery life. Popular among business professionals, students, and frequent travelers. Brands like Dell XPS, MacBook Air, and HP Envy dominate this segment. Higher cost limits widespread adoption to affluent users and corporate environments."
